Time,kW Total,kVAr R,kVA R,Volts R,Amps R
16-04-18 / 15:56,0.0,0.0,0.0,0.0,0.0
16-04-18 / 16:00,0.0,0.0,0.0,0.0,0.0
16-04-18 / 17:00,0.0,0.0,0.0,0.0,0.0
16-04-18 / 18:00,0.0,0.0,0.0,0.0,0.0
16-04-18 / 19:00,0.0,0.0,0.0,0.0,0.0
16-04-18 / 20:00,0.0,0.0,0.0,0.0,0.0
16-04-18 / 21:00,0.0,0.0,0.0,0.0,0.0
16-04-18 / 22:00,0.0,0.0,0.0,0.0,0.0
16-04-18 / 23:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 00:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 01:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 02:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 03:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 04:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 05:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 06:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 07:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 08:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 09:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 10:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 11:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 12:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 13:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 14:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 15:00,0.0,0.0,0.0,0.0,0.0
17-04-18 / 16:00,0.0,0.0,0.0,0.0,0.0
18-04-18 / 10:03,0.66,0.14,0.68,246.91,2.76
19-04-18 / 09:18,0.46,0.16,0.49,246.27,1.98
19-04-18 / 10:00,0.65,0.13,0.66,245.3,2.71
19-04-18 / 11:00,0.63,0.14,0.64,246.07,2.63
19-04-18 / 12:00,0.57,0.15,0.59,245.65,2.4
19-04-18 / 13:00,0.64,0.14,0.66,246.91,2.67
19-04-18 / 14:00,0.68,0.15,0.7,247.87,2.83
19-04-18 / 15:00,0.55,0.14,0.57,246.49,2.33
19-04-18 / 16:00,0.4,0.14,0.42,242.92,1.74
19-04-18 / 17:00,0.18,0.14,0.23,245.14,0.94
19-04-18 / 18:00,0.02,0.1,0.1,246.02,0.43
19-04-18 / 19:00,0.0,0.06,0.06,245.34,0.25
19-04-18 / 20:00,0.0,0.06,0.06,245.16,0.24
19-04-18 / 21:00,0.0,0.05,0.05,244.38,0.25
19-04-18 / 22:00,0.0,0.05,0.05,244.09,0.25
19-04-18 / 23:00,0.01,0.07,0.07,247.24,0.24
20-04-18 / 00:00,0.0,0.06,0.06,246.73,0.24
20-04-18 / 01:00,0.0,0.06,0.06,245.66,0.24
20-04-18 / 02:00,0.0,0.06,0.06,247.15,0.25
20-04-18 / 03:00,0.0,0.06,0.06,244.67,0.24
20-04-18 / 04:00,0.0,0.06,0.06,242.97,0.24
20-04-18 / 05:00,0.0,0.06,0.06,244.14,0.25
20-04-18 / 06:00,0.0,0.06,0.06,241.9,0.24
20-04-18 / 07:00,0.08,0.12,0.15,241.76,0.65
20-04-18 / 08:00,0.25,0.15,0.29,247.6,1.19
20-04-18 / 09:00,0.4,0.15,0.43,244.25,1.76
20-04-18 / 10:00,0.56,0.14,0.58,244.75,2.37
20-04-18 / 11:00,0.26,0.15,0.3,243.15,1.23
20-04-18 / 12:00,0.77,0.14,0.78,245.57,3.17
20-04-18 / 13:00,0.74,0.13,0.75,246.56,3.07
20-04-18 / 14:00,0.62,0.14,0.64,245.1,2.6
20-04-18 / 15:00,0.49,0.13,0.51,246.85,2.07
20-04-18 / 16:00,0.37,0.15,0.4,244.76,1.65
20-04-18 / 17:00,0.16,0.13,0.2,244.71,0.88
20-04-18 / 18:00,0.02,0.1,0.1,243.31,0.42
20-04-18 / 19:00,0.0,0.05,0.05,244.88,0.24
20-04-18 / 20:00,0.0,0.06,0.06,243.09,0.24
20-04-18 / 21:00,0.0,0.05,0.05,244.26,0.24
20-04-18 / 22:00,0.01,0.07,0.07,246.59,0.24
20-04-18 / 23:00,0.0,0.06,0.06,246.47,0.24
21-04-18 / 00:00,0.0,0.06,0.06,246.55,0.24
21-04-18 / 01:00,0.0,0.05,0.05,245.44,0.25
21-04-18 / 02:00,0.01,0.07,0.07,245.95,0.23
21-04-18 / 03:00,0.0,0.06,0.06,247.2,0.24
21-04-18 / 04:00,0.0,0.05,0.05,246.95,0.25
21-04-18 / 05:00,0.0,0.05,0.05,245.07,0.24
21-04-18 / 06:00,0.0,0.05,0.05,243.45,0.24
21-04-18 / 07:00,0.07,0.12,0.14,244.68,0.61
21-04-18 / 08:00,0.25,0.15,0.29,244.62,1.21
21-04-18 / 09:00,0.43,0.14,0.45,245.64,1.87
21-04-18 / 10:00,0.61,0.14,0.63,247.56,2.55
21-04-18 / 11:00,0.68,0.14,0.69,247.86,2.8
21-04-18 / 12:00,0.72,0.14,0.73,248.17,2.95
21-04-18 / 13:00,0.75,0.13,0.76,247.55,3.06
21-04-18 / 14:00,0.65,0.14,0.67,246.27,2.71
